status,reasons,source_file,line,passage_id,category,subtype,question
kept,,b_v2.jsonl,1,sq-3002,B,inference,How many years passed between the previous San Francisco Bay Area Super Bowl mentioned and this game being awarded to Levi's Stadium?
rejected,yes_no_question,b_v2.jsonl,2,sq-3002,B,inference,Did Levi's Stadium open before or after NFL owners awarded it the Super Bowl?
kept,,b_v2.jsonl,3,sq-3002,B,inference,How long had it been since California last hosted a Super Bowl when the game was awarded in 2013?
kept,,b_v2.jsonl,4,sq-0425,B,inference,Why did Tesla run away to Tomingaj?
kept,,b_v2.jsonl,5,sq-0425,B,inference,What two activities in Tomingaj did Tesla later associate with becoming healthier or recovering?
kept,,b_v2.jsonl,6,sq-0425,B,inference,What happened first: Tesla's earlier illness or his reading of Mark Twain's works in Tomingaj?
kept,,b_v2.jsonl,7,sq-0901,B,inference,"Under Ladner's result, what two classifications would some NP problems avoid if P is not equal to NP?"
kept,,b_v2.jsonl,8,sq-0901,B,inference,"Why are graph isomorphism, discrete logarithm, and integer factorization presented as candidates for the same category?"
kept,,b_v2.jsonl,9,sq-0901,B,inference,"Compared with all NP problems, how common are NP problems not known to be in P or NP-complete?"
kept,,b_v2.jsonl,10,sq-2571,B,inference,What came after the Marches fell under Norman baronial dominance?
kept,,b_v2.jsonl,11,sq-2571,B,inference,Why did Norman words begin entering Welsh at that time?
kept,,b_v2.jsonl,12,sq-2571,B,inference,Which three named barons are examples of William's trusted Normans who dominated the Marches?
kept,,b_v2.jsonl,13,sq-0338,B,inference,"If a fault cuts through one rock layer, which is older: the fault or that rock layer?"
rejected,too_long:26,b_v2.jsonl,14,sq-0338,B,inference,"If a fault penetrates lower formations but not the formations above them, what can be inferred about the relative ages of the cut and uncut formations?"
kept,,b_v2.jsonl,15,sq-0338,B,inference,Why might geologists look for the key bed when studying a faulted sequence?
kept,,b_v2.jsonl,16,sq-3203,B,inference,What is the difference between the lowest and highest teacher salaries stated for Canada?
kept,,b_v2.jsonl,17,sq-3203,B,inference,"In most provinces, how many Bachelor's degrees would someone need to become a qualified teacher?"
kept,,b_v2.jsonl,18,sq-3203,B,inference,How does the funding source differ between public and private school teaching options?
