"question_id","passage_id","category","question","answer"
"sq-3002-A1","sq-3002","A","Who voted on the venue for Super Bowl 50?","nfl owners"
"sq-0425-A1","sq-0425","A","Whose works helped Tesla recover from illness?","mark twains"
"sq-0901-A1","sq-0901","A",Who demonstrated that P != NP implies problems not present in P or NP-complete?,"ladner"
"sq-2571-A1","sq-2571","A","What country was under the control of Norman barons?","wales"
"sq-0338-A1","sq-0338","A","When rock formations are found on top of a fault that have not been cut, then they must be older or younger than the fault?","younger"
"sq-3203-A1","sq-3203","A","Where does a private school get funding to operate?","the private sector businesses and sponsors"
"sq-2726-A1","sq-2726","A","What kind of climate does southern California maintain?","mediterranean"
"sq-2005-A1","sq-2005","A","How did Luther broaden the Reformation in terms of prophecy?","placing them on prophetic faith"
"sq-4747-A1","sq-4747","A","Besides constant flooding, why else was there regulation of the Rhine?","strong sedimentation"
"sq-0229-A1","sq-0229","A","What is that power that enables us to love?","god"
"sq-3790-A1","sq-3790","A","What was Apple Talk ","proprietary suite of networking protocols"
"sq-1628-A1","sq-1628","A","Who in Warsaw has the power of legislative action?","warsaw city council"
"sq-0819-A1","sq-0819","A","Sky UK Limited is formerly known by what name?","british sky broadcasting"
"sq-4398-A1","sq-4398","A","What is the origin of clinical pharmacy?","inside hospitals and clinics"
"sq-2072-A1","sq-2072","A","What did Temüjin offer the people he conquered in order earn their loyalty?","his protection"
"sq-4437-A1","sq-4437","A","What is Kenya doing to determine if there are more reserves?","exploration"
"sq-0525-A1","sq-0525","A","What were the reasons why residents moved to the town of Fresno Station?","the convenience of the railroad and worried about flooding"
"sq-5092-A1","sq-5092","A","Who is the producer of Doctor Who?","bbc"
"sq-4420-A1","sq-4420","A","What happens to the lead fusible plugs if the water level of the boiler drops?","melts"
"sq-1443-A1","sq-1443","A","Building construction is usually further divided into what categories?","residential and nonresidential"
"sq-4758-A1","sq-4758","A","What is name of the function used for the largest integer not greater than the number in question?","floor"
"sq-3854-A1","sq-3854","A","Where is much of the work of the Scottish Parliament done?","committee"
"sq-1487-A1","sq-1487","A","How many lead authors does an IPCC report chapter have?","ten to fifteen"
"sq-2499-A1","sq-2499","A","What has a negative influence over the US economy?","the embargo"
"sq-4471-A1","sq-4471","A","What is the lower house of the Victorian parliament called?","legislative assembly"
"sq-0005-A1","sq-0005","A","What did the the Europeans think the peoples in the tropics were in need of?","guidance and intervention"
"sq-3555-A1","sq-3555","A","What part the composition of the Earth's atmosphere is comprised of oxygen?","major"
"sq-0176-A1","sq-0176","A","Newcastle served as a northern fortress for which country during the Middle Ages?","england"
"sq-3032-A1","sq-3032","A","What religion's schools does the term 'parochial schools' generally refer to?","roman catholic"
"sq-0774-A1","sq-0774","A","Where did British settlers live?","eastern coast of the continent"
"sq-3647-A1","sq-3647","A","In what types of organisms did the adaptive immune system first evolve?","vertebrates"
"sq-3390-A1","sq-3390","A","What ethnic group located in Jacksonville is ranked tenth largest?","arab"
"sq-1122-A1","sq-1122","A","What are the three sources of European Union law?","primary law secondary law and supplementary law"
"sq-1158-A1","sq-1158","A","What is Plasmodium?","the malaria parasite"
"sq-0714-A1","sq-0714","A","When forces are from the presence of differnet objects, what law gives symmetry?","newtons third law"
"sq-3234-A1","sq-3234","A","What was huihui?","muslim medicine"
"sq-4265-A1","sq-4265","A","What was the black death originally blamed on?","the heavens"
"sq-3739-A1","sq-3739","A","How did Huguenots evolve their religious beliefs in the New World?","affiliated with other protestant denominations"
"sq-3541-A1","sq-3541","A","What is a statocyst?","a balance sensor"
"sq-5207-A1","sq-5207","A","What forced the cancellations of three future landings?","budget cuts"
