status,reasons,source_file,line,passage_id,category,subtype,question
kept,,c_v2.jsonl,1,sq-3002,C,absent-entity,Which company designed the halftime stage for the game at Levi's Stadium?
kept,,c_v2.jsonl,2,sq-3002,C,absent-entity,Who performed the national anthem before the Super Bowl described in the passage?
kept,,c_v2.jsonl,3,sq-3002,C,absent-entity,What was the final score of the game awarded to Levi's Stadium?
kept,,c_v2.jsonl,4,sq-0425,C,absent-entity,Which school did Tesla attend after returning from Tomingaj?
kept,,c_v2.jsonl,5,sq-0425,C,absent-entity,What type of weapon did Tesla carry while dressed in hunter's garb?
kept,,c_v2.jsonl,6,sq-0425,C,absent-entity,Who helped Tesla find lodging while he was in Tomingaj?
kept,,c_v2.jsonl,7,sq-0901,C,absent-entity,Which university hosted Ladner when he proved the result about NP-intermediate problems?
kept,,c_v2.jsonl,8,sq-0901,C,absent-entity,What algorithm is described for solving the graph isomorphism problem efficiently?
kept,,c_v2.jsonl,9,sq-0901,C,absent-entity,In what journal was Ladner's theorem first published?
kept,,c_v2.jsonl,10,sq-2571,C,absent-entity,Which castle did Bernard de Neufmarché use as his main residence?
kept,,c_v2.jsonl,11,sq-2571,C,absent-entity,What treaty ended the Norman interference in Wales described in the passage?
kept,,c_v2.jsonl,12,sq-2571,C,absent-entity,Who translated the Norman legal records into Welsh during that period?
kept,,c_v2.jsonl,13,sq-0338,C,absent-entity,What instrument is used to measure the angle of the fault in the field?
kept,,c_v2.jsonl,14,sq-0338,C,absent-entity,Which geologist first proposed the principle of cross-cutting relationships?
kept,,c_v2.jsonl,15,sq-0338,C,absent-entity,What mineral composition identifies the key bed in these fault examples?
kept,,c_v2.jsonl,16,sq-3203,C,absent-entity,Which licensing exam must Canadian teachers pass before entering the classroom?
kept,,c_v2.jsonl,17,sq-3203,C,absent-entity,What union represents public school teachers in Canada?
kept,,c_v2.jsonl,18,sq-3203,C,absent-entity,How many hours of classroom practicum are required for the Bachelor of Education?
kept,,c_v2.jsonl,19,sq-2726,C,absent-entity,Which coastal city records the highest average humidity in Southern California?
kept,,c_v2.jsonl,20,sq-2726,C,absent-entity,What wildfire warning system is used during Southern California's dry summers?
kept,,c_v2.jsonl,21,sq-2726,C,absent-entity,When was the region's largest recorded snowstorm?
kept,,c_v2.jsonl,22,sq-2005,C,absent-entity,Which printer published Luther's 1521 writings on prophecy?
kept,,c_v2.jsonl,23,sq-2005,C,absent-entity,What city hosted Luther while he developed this interpretation of Daniel?
kept,,c_v2.jsonl,24,sq-2005,C,absent-entity,What illustration accompanied Luther's explanation of the Little Horn?
kept,,c_v2.jsonl,25,sq-4747,C,absent-entity,Which engineering firm designed the upper canal near Diepoldsau?
kept,,c_v2.jsonl,26,sq-4747,C,absent-entity,What machinery was used to dredge sediment from the western Rhine Delta?
